costo,nombre,precio_venta,referencia_interna,unidad_medida,categoria_producto,archivo_imagen,imagen_url
796.97,12V 100AH BATERIA RITAR GEL,750.0,,Unidades,BATERIAS,12V_100AH_BATERIA_RITAR_GEL.jpg,http://localhost:3000/uploads/12V_100AH_BATERIA_RITAR_GEL.jpg
633.64,12V 100AH BTRA GEL TNST,740.0,,Unidades,BATERIAS,12V_100AH_BTRA_GEL_TNST.jpg,http://localhost:3000/uploads/12V_100AH_BTRA_GEL_TNST.jpg
882.78,12V 150AH BATERIA GEL TENSITE,1240.0,,Unidades,BATERIAS,12V_150AH_BATERIA_GEL_TENSITE.jpg,http://localhost:3000/uploads/12V_150AH_BATERIA_GEL_TENSITE.jpg
707.26,12V 150AH BTRA GEL RITAR,1050.0,,Unidades,BATERIAS,12V_150AH_BTRA_GEL_RITAR.jpg,http://localhost:3000/uploads/12V_150AH_BTRA_GEL_RITAR.jpg
760.5,12V 1800W INVERSOR HIBRIDO GOSPOWER,1249.0,GPEO1K8L1M,Unidades,INVERSORES,GPEO1K8L1M.jpg,http://localhost:3000/uploads/GPEO1K8L1M.jpg
0.0,12V 200AH  BATERIA RITAR AGM,1494.9,RT 12-200,Unidades,BATERIAS,RT_12-200.jpg,http://localhost:3000/uploads/RT_12-200.jpg
1570.0,12V 200AH BATERIA LITHIO RITAR,2500.0,,Unidades,ALARMA RISCO,12V_200AH_BATERIA_LITHIO_RITAR.jpg,http://localhost:3000/uploads/12V_200AH_BATERIA_LITHIO_RITAR.jpg
3.0,12V 200AH BTRA GEL RITAR,1400.0,,Unidades,BATERIAS,12V_200AH_BTRA_GEL_RITAR.jpg,http://localhost:3000/uploads/12V_200AH_BTRA_GEL_RITAR.jpg
118.0,12V 20AMP STECA CONTROLADOR,120.0,12V-20AMP,Unidades,CONTROLADORES,12V-20AMP.jpg,http://localhost:3000/uploads/12V-20AMP.jpg
1427.27,12V 250AH BTRA GEL TNST,1600.0,,Unidades,BATERIAS,12V_250AH_BTRA_GEL_TNST.jpg,http://localhost:3000/uploads/12V_250AH_BTRA_GEL_TNST.jpg
1527.6,12V 260AH  BATERIA RITAR AGM,2163.0,RT 12-260,Unidades,BATERIAS,RT_12-260.jpg,http://localhost:3000/uploads/RT_12-260.jpg
1558.0,12V 260AH BTRA GEL RITAR,2206.0,,Unidades,BATERIAS,12V_260AH_BTRA_GEL_RITAR.jpg,http://localhost:3000/uploads/12V_260AH_BTRA_GEL_RITAR.jpg
193.8,12V 26AH BATERIA AGM  RITAR,274.0,RT 12-26,Unidades,BATERIAS,RT_12-26.jpg,http://localhost:3000/uploads/RT_12-26.jpg
1910.0,12V 300AH BATERIA LITHIO 300A RITAR,2700.0,,Unidades,BATERIAS,12V_300AH_BATERIA_LITHIO_300A_RITAR.jpg,http://localhost:3000/uploads/12V_300AH_BATERIA_LITHIO_300A_RITAR.jpg
0.0,12V 300AH BTRA GEL TNST,2950.0,,Unidades,BATERIAS,12V_300AH_BTRA_GEL_TNST.jpg,http://localhost:3000/uploads/12V_300AH_BTRA_GEL_TNST.jpg
